,Company Names ,Website Link  
155,SERIES 5 LABS PRIVATE LIMITED,www.series-5.com
156,Fintech IT Solutions LLP,www.evenbooks.in
157,Chromosis Technologies Pvt Ltd,chromosis.com/
158,TroonDx Technologies Pvt Ltd,www.troondx.com
159,Aura Education,aura-edu.github.io/
160,Tericsoft Technology Solutions Pvt Ltd.,www.tericsoft.com/
161,Yantranet Technologies Private Limited,www.yantranet.com
162,ANTAR IoT Private Limited,www.antarsmarthomes.com
163,Circle of Life Healthcare Pvt Ltd,mycol.in
164,GoBikes,gobikes.co.in
165,Bodhi Health Education Pvt. Ltd,bodhihealthedu.org/
166,SchoolPad Technologies Private Limited,www.schoolpad.in
167,ATOM MOTORS,www.atommotors.in/
168,Clavictor Academy Pvt. Ltd.,www.clavimate.com
169,ALKHOLOCKS,www.alkholocks.com
170,C electric automotive drives pvt ltd,www.c-electricdrives.com
171,Doorastha Analytics Pvt Ltd,www.doorastha.com
172,Bevywise Networks,www.bevywise.com
173,Leisure Travels ,www.leisuretravels.in
174,Dimension NXG,dimensionnxg.com/
175,Pecspace India pvt ltd,pecspace.in
176,MSQube Technology Solutions Pvt. Ltd.,msqube.com
177,Amazantz Solutions Private Limited,www.amazantz.com
178,Talento Consulting Private Limited,www.talento.in
179,Ramalingam A,generationinfinite.com/
180,Happy Reliable Surgeries Pvt. Ltd.,www.hrsnavigation.com
181,ZMotion Autonomous Systems Private Limited,www.zmotion.in
182,D Espat Pvt Ltd,www.despat.in
183,Kewiruangwang,No website found
184,AKESTECH INFOTECH PRIVATE LIMITED,www.akestech.com
185,SIVATEC SOLUTIONS,www.sivatec.com
186,KAMBAA INCORPORATION,www.kambaaincorporation.com
187,Navvinni Sports Private Limited,www.vliveinsports.com
188,Kinektec,kinektec.me
189,MY3DSELFIE ,www.my3dselfie.com
190,Openwater.in Private Limited ,www.openwater.in
191,IDEEZ,www.ideez.in
192,Brahmaputra Fables,www.brahmaputrafables.in
193,Ignitarium Technology Solutions Pvt. Ltd,www.ignitarium.com
194,Huwel Lifesciences Pvt. Ltd,www.huwellifesciences.in
195,Unilogic Technologies Private Limited,www.unilogic.in
196,DESKNEED Science2home Pvt. Ltd.,www.deskneed.com
197,EyeROV IROV TECHNOLOGIES PVT LTD,eyerov.com/
198,DeepSight AI Labs ,www.deepsightlabs.com
199,KATOMARAN TECHNOLOGY AND BUSINESS SOLUTIONS,www.katomaran.com/
200,Radome Technologies and Services Pvt Ltd,www.radometech.com
201,Greenturn Idea Factory Private Limited,greeniee.com
202,Secundo Per Metre Online Solutions Private Limited,www.metrepersecond.com
203,PlantShip,plantsship.com/
204,BYB parlour,www.bybparlour.com
205,Betwala,betwala.com
206,MACLEC Technical Project Laboratory Pvt. Ltd.,maclec.com/
207,Paradise Tour Travel and Allied Cargo,pttac.in
208,RIGHTMOVE COMMERCIAL PRIVATE LIMITED,rightmoveindia.com
209,FENCER SERVICES PRIVATE LIMITED,fencerservices.in/
210,ADS And URL,www.adsandurl.com
211,Kaidoko Automation Solutions Pvt. Ltd,www.kaidoko.com/
212,VDAI BioSec Private lImited,vdsai.com
213,REPARO PRIVATE LIMITED,www.reparodefence.com
214,Snapex Overseas - GARV Toilets,www.garvtoilets.com
215,ApnaPay,www.apnapay.in/
216,GEOCARTE RADAR TECHNOLOGY PVT. LTD.,WWW.GEOCARTE.IN
217,Mizoram Consultancy Firm,No website found
218,Autointelli System Pvt Ltd,www.autointelli.com
219,Janitri Innovations Private Limited,janitri.in/
220,UnivLabs Technologies Pvt Ltd,www.univlabs.in
221,YuTu Electronics Pvt Ltd,www.yutuelectronics.com
222,Sastra Robotics India Private Limited,www.sastrarobotics.com
223,City Explorers Private Limited,www.facebook.com/IndiaHeritageWalks/
224,Recubitech Private Limited,www.recubitech.com
225,BookMyParts Networks Pvt. Ltd,www.BookMyParts.com
226,TESTPAN INDIA PRIVATE LIMITED,www.testpanindia.com
227,Amplitech Automation Private Limited,www.amplitech.in
228,Nara Technologies Pvt ltd OPC,naratech.in
229,Happy Adda Studios Pvt Ltd,www.happyadda.com
230,Vitor Healthsciences,www.vitorhealth.com
231,Agsmartic,www.agsmartic.com
232,Easemy Business Private Limited,www.easemygst.com
233,Extravelmoney Technosol Private Limited,extravelmoney.com/
234,Robolab Technologies Pvt Ltd,robolab.in
235,HOLY MARY INSTITUTE OF TECHNOLOGY & SCIENCE,www.hits.ac.in/
236,AyanWorks Technology Solutions Private Limited,www.ayanworks.com
237,FOLIYOO TECHNOLOGIES PRIVATE LIMITED,www.foliyoo.com
238,Worksera,worksera.com/
239,SHOPIVATE INDIA PVT LTD,kiranaathome.in
240,Tarudhairya digital private limited,medrechaincode.in/
241,Consytel Life Sciences Pvt Ltd,www.consytel.com
242,AdventureX Next Gen Innovative Technologies Private Limited,Read More 
243,AdventureX Next Gen Innovative Technologies Private Limited,Read More 
244,Amjad Ali Healthcare Private Limited,www.aahdgitalhealthcenter.com
245,innovate2automate technologies Pvt Limited,www.innovate2automate.com/
246,Prabhakar Alok,www.digiwalebabu.com/
247,Aarca Research Pvt Ltd,www.aarcaresearch.com
248,Diagnostics,No website found
249,Vicharsity ,No website found
250,Recipe Kit,recipekit.in
251,Agrani Foundation,www.agranifoundation.com/
252,LIFEGRAPH BIOMEDICAL INSTRUMENTATION PVT.LTD,No website found
253,iEaon Tech Private Limited,www.ieaontech.com
254,Weavers Touch,weaverstouch.com
255,Boscoe Solutions Private Limited,www.boscoesolutions.com
256,SYFT Learn and Excell Private Limited,syft.in
257,WildTrails Technologies,wildtrails.co
258,Thinker Lab,thinkerlab.in
259,Genericure,www.genericure.in
260,Prakhya Solutions Pvt Ltd,www.prakhyasolutions.com
261,Azeedo Private Limited,azeedo.org
262,Fayette Innovations,www.fayetteinnovations.com
263,Yaanam Infotech Pvt. Ltd.,www.yaanam.in
264,OO7 Trade International Private Limited,www.oo7gt.net
265,City Surveillance Services Pvt. Ltd,www.citysurbeillance.in
266,Atlamedico TechSolutions Pvt Ltd,www.atlamedico.com
267,Uplink Automation ,uplinkautomation.com
268,Springlr,www.springlr.com
269,Newage Analytics and Software Solutions Pvt Ltd,newage-analytics-ss.com
270,ProRaptor Technologies Pvt Ltd,www.proraptor.com/
271,Virtual Villa,www.virtualvilla.in/
272,otopark,www.otopark.in
273,Emertech Innovations Pvt. Ltd.,www.emertech.io
274,NEONCUBE SOLUTIONS PVT. LTD.,No website found
275,SensoVision Systems Pvt. Ltd.,sensoviz.com/
276,AUTOMATON ROBOTICS AND AUTOMATION PRIVATE LIMITED,www.automata.in
277,Abhinav Infosoft OPC Private Limited,abhinavinfosoft.com
278,3D-IP Semiconductors Pvt Ltd,www.3d-ipsemi.com/
279,Infitore Engineering Solutions,infitore.wixsite.com/info
280,Droaerody Private Limited,www.ps-1925.com
281,ELECTROMOTION E-VIDYUT VEHICLES PRIVATE LIMITED,evidyut.com
282,STITHI INNOVATIONS,www.stithi.in
283,Teceads solutions private limited,www.teceads.com
284,SandR agrobiotech,www.sandragrobiotech.com
285,Neubrain,www.neubrain.tech
286,Dvizira Private Limited,www.dvizira.com
287,Grego Recycling Pvt Ltd,No website found
288,Rental Stay Private Limited ,www.placio.in
289,Ohavio,No website found
290,Ebisu Technologies Pvt Ltd,www.ebisu.ai
291,ALTRASYS TECHNOLOGIES PRIVATE LIMITED,www.altrasys.com
292,Fabulyst Private Limited,www.fabulyst.ai
293,Kaiinos Geospatial Technologies Pvt Ltd,www.kaiinos.com/
294,Xeality IT Technologies Pvt. Ltd,www.xeality.tech
295,minto.ai,minto.ai
296,ZOBBS,www.zobbs.in
297,CURIA TECHNOLOGIES PRIVATE LIMITED,WWW.SEETHOS.COM
298,RD GROW GREEN INDIA PRIVATE LIMITED,No website found
299,INROLABS PVT LTD,www.inrolab.com
300,SmartReach.io,smartreach.io
301,LSS Event Labs Pvt Ltd,eventlabs.in
302,Augtra Technologies India Pvt LTD,posler.com/
303,Caliche Private Limited,www.calicheglobal.com
304,Atharva Technologies,www.bharatearththermal.com
305,Affosoft Technologies India Private Ltd,affosoft.com/
306,MITRA Life Sciences,No website found
307,Soil health monitoring System,No website found
308,FAVO CONSTRUCTION TECHNOLOGIES PVT. LTD.,No website found
309,Space Stories,www.spacestories.co.in/
310,Viridi Industria Techno Solutions Pvt. Ltd,www.viriditechnology.com
311,Temperate Technologies Private Limited,No website found
312,Xgen Technologies Private Limited,www.xgencowork.com
313,DHE4 VENTURES PRIVATE LIMITED,No website found
314,Wallflower,No website found
315,QRide Technologies Pvt Ltd,www.qride.in
316,4MirrorTech Innovatives Pvt. Ltd.,www.4mirrortech.com
317,SHAs Arts n Expressions,No website found
318,SYBYLLINE ROBOTICS PRIVATE LIMITED,www.sybytech.com
319,OYE ORDER E-COMMERCE PVT LTD,www.oyeorder.com
320,Magnes Motors India,www.magnesmotors.com
321,ONISOL SYSTEMS,www.onisol.com
322,Saindur Enviro Pvt Ltd,www.saindurenviro.com
323,Antrax Labs,antraxlabs.com
324,Vytal Healthtech Pvt Ltd,www.vytal.in
325,LEMONFLIP SOLUTION PVT LTD,www.lemonflipsolution.com
326,MinionLabs,www.minionlabs.tech/
327,Wellth Solutions Pvt Ltd,www.wellth.in
328,DECIMALMINDS Pvt Ltd.,www.decimalminds.com
329,VenKam Technologies P Ltd,venkamtech.com
330,AtFingerTip IT Innovations Pvt Ltd ,www.nextgenrooms.com
331,Krishworks Technology and Research Labs Pvt. Ltd,www.krishworks.com
332,Osure Care Private Limited,www.grey-osure.com
333,EaffoCare Innovation Pvt Ltd,No website found
334,VNC INDUSTRIES PRIVATE LIMITED,No website found
335,InteliTix Solutions Private Limited,intelitix.com
336,NexConnect Ventures Pvt Ltd,www.nexconnectventures.com
337,WordsMaya EduTech Pvt Ltd,wordsmaya.com
338,Dr. Suphiya Khan,banasthali.org
339,Neelgreev systems ,www.neelgreev.com
340,Xplorazzi Adventures Private Limited,www.xplorazzi.com
341,Thinkgenix LLP,thinkgenix.in/
342,NatureKa Green Technologies Private Limiteed,www.natureka.in
343,ANUKAI SOLUTIONS PRIVATE LIMITED,www.anukai.com
344,Rewoke Technologies Pvt. Ltd.,prixpi.com
345,Mechcreatio Industrial Solutions Pvt. Ltd.,No website found
346,INGO ELECTRIC PRIVATE LIMITED,www.ingoelectric.com
347,Nanowatts Technologies PVT Ltd,www.nanowattstech.com
348,MWL Travel Community Pvt. Ltd.,mywanderlust.in/
349,Artnovation India Global Private Limited,www.artnovation.in
350,RAAV Techlabs Private Limited,raav.in
351,Olivewear Pvt Ltd,www.savemom.in
352,Myjourneynext,www.myjourneynext.com
353,Klonec Automation Systems Pvt Ltd,krishitantra.com
354,SARALA POWERTECH CONSULTING ENGINEERS LLP,www.sarpcon.com
355,The Box Enterprises LLP,www.puprise.com
356,Avrio Energy Private Limited,avrio.energy
357,fundpanacea,www.fundpanacea.com
358,Photom Technologies Private Limited,photomtechnologies.com/
359,OPrint,www.oprint.org.in
360,Pratibha Analytics,www.pratibhaanalytics.com
361,Seacup Visionaries Private Limited,www.ridezadd.com
362,Likes and Shares  Pvt Ltd,www.channeliam.com
363,Renthighway,www.renthighway.com
364,CINDAN TECHNOLOGIES,www.cindan.in
365,GR Agritek Labs Pvt Ltd,www.gragriteklabs.com
366,YOURRETURNS.TAX,www.yourreturns.tax
367,Kunde Dairy Farms Pvt. Ltd.,No website found
368,Plantec Industries ,www.plantec.in
369,Saishades Laser Engravers Private Limited,www.saishades.com
370,Coitor IT Tech Private Limited,www.coitor.com
371,New Age Multimedia Almanac,www.nama.co.in
372,CDSpace Robotics Pvt Ltd,www.cdspace.in
373,Symbiote Healthtech Private Limited,www.sympill.app
374,RETO LABS PVT. LTD.,No website found
375,Ideas Edge Solutions Private Limited,ideasedge.com
376,DOP Agent Software,dopagentsoftware.com/
377,Bimet health care solutions,No website found
378,Medzak Healthcare Pvt. Ltd.,medzak.co
379,GaloreTx Pharmaceuticals Pvt Ltd,www.galoretx.com
380,Finahub Technology Solution Pvt. Ltd.,www.finahub.com
381,Athul Ram,www.verdatum-ai.com/
382,Silicon14 Inc,www.sillicon14.com
383,Instant Education Solutions ,www.greenboardgb.com
384,Knock Knock,No website found
385,HAASTOFIX,No website found
386,Hearthealth Technologies Private Limited,hearthealthtech.com/
387,Estinno Energy pvt ltd,No website found
388,Heal-Agnostic Innovations Pvt Ltd,No website found
389,Madhyantar,www.madhyantar.in
390,niranjan cg,www.nizanrobotics.com
391,Aradhya Electronics Private Limited,No website found
392,Transil Technologies Pvt. Ltd.,www.transil.in
393,Yobny Technology Solutions Pvt Ltd,yobny.com
394,Yardstick Entertainment Pvt Ltd,www.starbounty.com
395,LittleMachines Private Limited,www.little-machines.com
396,Zoid Labs,www.zoidlabs.com
397,Mukhesh Voleti,trendigoweebo.com
398,Engeniuspark Technologies LLP,www.engeniuspark.com
399,Idea Fueled,www.ideafueled.com
400,chai nagri,www.chainagri.in
401,CIRKLE PAYMENT SOLUTIONS,www.cirklepay.com
402,Genomatics Pvt Ltd,www.genomatics.in
403,Simmi Aggarwal,docsinblocks.com
404,Oversight,No website found
405,VYAAN PURIFIERS PRIVATE LIMITED,vyaan.care
406,Lizrox Pvt. Ltd.,No website found
407,padhloo,www.padhloo.com
408,Scavenger WasteTech Pvt. Ltd.,www.scavenger.co.in
409,Xplorazzi,www.xplorazzi.com
410,Virtual Sapiens,No website found
411,Innotics Computech LLP,www.smacovation.com
412,C ELECTRIC AUTOMOTIVE DRIVES PVT LTD,www.c-electricdrives.com
413,Xovian,www.xovian.co.in
414,Devaditek Innovations Private Limited,No website found
415,kavin kishore M,wildlife360.co.in
416,Pratikara,www.pratikara.in
417,Lmpodt,www.lmpodt.com/
418,Fitbuddy Fitness Services Private Limited,fitsy.co.in/
419,Efi-Digi Pro,www.efidigipro.com/
420,Triaxon Technologies Pvt. ltd,www.triaxontech.com
421,Blinkeyelabs Electronics Pvt. Ltd.,blinkeyelabs.com
422,Mailsoc Private Limited,www.mailsoc.com
423,Bioscan Research Pvt. Ltd.,bioscanresearch.com
424,Recogsquare Private Limited,www.invoid.co
425,Biospot Solutions Private Limited,www.biospot.in
426,E-fi Workbench,Read More 
427,GreenECM Technologies,www.greenecmtech.com
428,Jaden Solutions,www.jadensolutions.in
429,Square Comp,grahasvr.tech
430,An surya power magic pvt ltd,www.goldfarm.in
431,G Solutuins,gsolutions.in
432,Lexhive Corporate Services,www.lexhive.in
433,G-NET SOLUTIONS COIMBATORE PRIVATE LIMITED,www.g-netsolutions.com
434,Vyorius Drones,vyorius.com
435,Smart dustbin,No website found
436,Zenwise Technologies Private Limited,www.zenwise.net
437,Linearized Amplifier Technologies And Services Private Limited,www.linear-amptech.com/
438,Wildlife360,wildlife360.co.in
439,INDIGENOUS ENERGY STORAGE TECHNOLOGIES PRIVATE LIMITED,indienergy.in/
440,ISPINE INNOVATIONS,ispine-dispenser.herokuapp.com
441,DataQ,dataqtechnologies.com
442,Bluethunder Comics Private Limited,www.tbsplanet.com
443,Ojovati Technologies Pvt Ltd,www.ojovati.com
444,Sieg Automation,No website found
445,CHEMICAL SHOPPE PRIVATE LIMITED,HTTPS://WWW.CHEMICALSHOPPE.COM
446,Aether Biomedical Pvt. Ltd.,www.aetherbiomedical.com
447,UX India Studios Private Limited ,www.uxindia.com/
448,I-CUBE ACCESS GLOBAL PVT. LTD.,www.ctunes.biz/
449,Quixote Automotive Technologies Private Limited,www.quixote.in
450,Shrijothi New Media Consulting Services,www.sjnmcs.in
451,Sonant Technologies Private Limited,www.sonanttech.com
452,Fermentech Labs Pvt Ltd,No website found
453,Alabaster Research,www.alabasterresearch.com
454,Carpro Technologies Private Limited,www.carprotech.in
455,Prajna Biosciences Private Limited,www.prajnabio.com
456,RICWAL,www.ricwal.com
457,Yet to finalize,www.sparklescloud.com
458,Evidenzum Systems Private Limited,No website found
459,Dieatto,www.dieatto.com
460,Nearest Mentor - MentorLAP Private Limited,nearestmentor.com
461,Your Returns,yourreturns.tax
462,AWRWORK SERVICES PRIVATE LIMITED,htpps://www.karnnm.com
463,Sustainable Solutions and Marketing Private Limited,sustainablesolutions.co.in
464,Chalbo India Private Limited,chalbo.in
465,TinyData Technologies Privtae Limited,www.tinydata.in
466,ClinchHub,www.clinchhub.com
467,NOOS TECHNOLOGIES PRIVATE LIMITED,www.noostechnologies.com
468,RescueWays,No website found
469,Unified Network for Information and Communication,No website found
470,Abda Digital,www.holaenterprise.com
471,ADITI MOULDINGS,www.nishantpipes.com
472,MYAGLAKADAM,myaglakadam.com/
473,W3 Dev Private Limited,w3dev.in
474,SRI ASQUARE LABS AND TECHNOLOGIES LLP,No website found
475,Frugal Labs Tech Solutions Pvt Ltd,www.frugal-labs.com
476,Mightyseed designs LLP,mightyseed.co
477,Yupt technologies Pvt Ltd,www.yuprooms.com
478,Instaclicks,instaclicks.in/
479,Tweek Labs Pvt. Ltd.,www.tweek.me
480,My Assessment,www.myassessment.xyz
481,247 Lifetime Solutions,No website found
482,Sun Navigation,www.sunnavigation.com/
483,Boatload minds PVT LTD,na
484,DUENDE,www.duendev.com/
485,Consights Tech Pvt Ltd,www.udhaar.co
486,TicketMeme,www.ticketmeme.com
487,Boostup,www.chemfrix.com
488,Gastronomica SciTech,No website found
489,Delgado Coating and Technology Solutions Pvt Ltd,www.delgadocoatingsolutions.com
490,Exora Labs,www.exoralabs.com
491,Sanshodhan An E-Waste Exchange Pvt Ltd,www.e-wasteexchange.com
492,Tenova Systems Pvt Ltd,www.tenovasystems.com
493,Trippy cars,www.trippycar.com
494,IMW AUTOMOTIVES AND POWERS,No website found
495,InternMania,www.internmania.com
496,EDUDAPT,www.edudapt.in
497,SANLOP Heathcare Solution Private Limited,No website found
498,Inochi Care,www.inochihealthcare.com
499,InUni,www.inuni.io
500,Sgmoid,www.sgmoid.com
501,Pratibha Healthkon Private Limited,www.healthkon.com
502,MANASTU SPACE TECHNOLOGIES PRIVATE LIMITED,www.manastuspace.com/
503,FEIT SOLUTIONS PVT LTD,No website found
504,Amish Shah,www.sevanhomecare.in
505,Intech Harness Pvt Ltd,No website found
506,Ajay Kumar,techsoul.in
507,Finlab,www.finlab.in/index.php?/
508,WHITESHARK ENERGY PRIVATE LIMITED,www.whitesharkenergy.in
509,Deeper Learning Innovations Pvt Ltd ,edcaptain.com
510,Life-Bolt Innovation OPC Pvt Ltd,lifebolt.xyz
511,Oncosimis Biotech Pvt LTD,www.oncosimis.com
512,Elevare Systems.AI,www.elevaresystems.com
513,Coursack Software Solutions Private Limited,www.coursack.com
514,Magnyfied biz Pvt Ltd,magnyfied.com
515,iPublish ATS,www.publishat.com
516,Dieatto Wellness Pvt Ltd ,www.dieatto.com
517,Future Wave Technologies Pvt. Ltd.,www.futurewave.in
518,HealthCloudAI,www.healthcloudai.com
519,Next Skills 360,www.nextskills360.in
520,Aqua Solutions,shrimpsms.com
521,e-safe tech ,No website found
522,CyberCubes Solutions,www.cybercubes.in
523,PlottoRace Consultancy ,plottorace.com/
524,BNG Spray Solutions Pvt. Ltd.,bngspraysolutions.com
525,BARIFLO LABS PRIVATE LIMITED,bariflolabs.com/
526,Han Agrocare,www.hanagrocare.com
527,Azureiken Technologies Private Limited,Read More 
528,Kotumb Digital Empowerment and Career pvt ltd,kotumb.com
529,Avrio Energy Pvt Ltd,www.avrioenergy.in
530,FLIC FARM PRIVATE LIMITED,www.xmachines.ai
531,Akshay Jaithalia,www.Tap2Trade.com
532,AI-GENIX INTERNATIONAL PVT LTD,ai-genix.com/
533,Float Design Labs LLP,No website found
534,SquadX Innovations Pvt. Ltd.,bhoomiprava.com
535,founder  infotech,www.founderinfotech.com
